,angry,disgust,fear,happy,sad,surprise,neutral
0,0.07,0.0,0.19,0.0,0.57,0.01,0.17
1,0.08,0.0,0.21,0.0,0.58,0.01,0.11
2,0.1,0.0,0.2,0.0,0.52,0.01,0.17
3,0.12,0.0,0.22,0.0,0.44,0.01,0.2
4,0.1,0.0,0.24,0.0,0.53,0.01,0.13
5,0.09,0.0,0.28,0.0,0.44,0.01,0.18
6,0.09,0.0,0.3,0.0,0.45,0.01,0.14
7,0.08,0.0,0.27,0.0,0.48,0.01,0.15
8,0.09,0.0,0.3,0.0,0.42,0.01,0.18
9,0.06,0.0,0.23,0.0,0.55,0.01,0.15
10,0.1,0.0,0.24,0.0,0.48,0.02,0.17
11,0.09,0.0,0.2,0.0,0.59,0.01,0.11
12,0.09,0.0,0.25,0.0,0.48,0.01,0.16
13,0.06,0.0,0.27,0.0,0.56,0.0,0.11
14,0.12,0.0,0.26,0.0,0.45,0.02,0.15
15,0.1,0.0,0.22,0.0,0.5,0.02,0.16
16,0.08,0.0,0.27,0.0,0.52,0.01,0.13
17,0.09,0.0,0.27,0.0,0.47,0.01,0.16
18,0.05,0.0,0.23,0.0,0.49,0.01,0.22
19,0.09,0.0,0.22,0.0,0.49,0.01,0.19
20,0.1,0.0,0.21,0.0,0.52,0.01,0.16
21,0.08,0.0,0.21,0.0,0.49,0.01,0.2
22,0.1,0.0,0.18,0.0,0.53,0.01,0.18
23,0.09,0.0,0.23,0.0,0.45,0.01,0.22
24,0.08,0.0,0.16,0.0,0.52,0.01,0.23
25,0.12,0.0,0.14,0.0,0.44,0.01,0.29
26,0.1,0.0,0.15,0.0,0.34,0.01,0.4
27,0.06,0.0,0.11,0.0,0.43,0.0,0.4
28,0.09,0.0,0.1,0.0,0.42,0.01,0.37
29,0.05,0.0,0.1,0.0,0.43,0.01,0.41
30,0.04,0.0,0.04,0.0,0.34,0.0,0.58
31,0.03,0.0,0.04,0.0,0.37,0.0,0.55
32,0.03,0.0,0.04,0.0,0.24,0.0,0.69
33,0.04,0.0,0.04,0.0,0.36,0.0,0.56
34,0.04,0.0,0.03,0.0,0.34,0.0,0.59
35,0.03,0.0,0.07,0.0,0.31,0.0,0.6
36,0.02,0.0,0.04,0.0,0.42,0.0,0.52
37,0.03,0.0,0.05,0.0,0.34,0.0,0.57
38,0.03,0.0,0.05,0.0,0.27,0.0,0.65
39,0.01,0.0,0.02,0.0,0.18,0.0,0.79
40,0.01,0.0,0.02,0.0,0.18,0.0,0.79
41,0.02,0.0,0.02,0.0,0.27,0.0,0.69
42,0.03,0.0,0.05,0.0,0.31,0.0,0.61
43,0.02,0.0,0.03,0.0,0.26,0.0,0.69
44,0.03,0.0,0.05,0.0,0.3,0.0,0.62
45,0.02,0.0,0.04,0.0,0.27,0.0,0.67
46,0.02,0.0,0.04,0.0,0.2,0.0,0.74
47,0.02,0.0,0.05,0.0,0.32,0.0,0.61
48,0.02,0.0,0.04,0.0,0.37,0.0,0.57
49,0.01,0.0,0.01,0.0,0.19,0.0,0.78
50,0.02,0.0,0.03,0.0,0.23,0.0,0.72
51,0.02,0.0,0.03,0.0,0.42,0.0,0.53
52,0.02,0.0,0.04,0.0,0.33,0.0,0.6
53,0.01,0.0,0.05,0.0,0.38,0.0,0.56
54,0.02,0.0,0.05,0.0,0.36,0.0,0.56
55,0.02,0.0,0.05,0.0,0.39,0.0,0.54
56,0.02,0.0,0.06,0.0,0.38,0.0,0.54
57,0.02,0.0,0.05,0.0,0.46,0.0,0.46
58,0.03,0.0,0.07,0.0,0.44,0.0,0.46
59,0.04,0.0,0.07,0.0,0.39,0.0,0.5
60,0.03,0.0,0.06,0.0,0.31,0.0,0.6
61,0.03,0.0,0.06,0.0,0.35,0.01,0.55
62,0.02,0.0,0.02,0.0,0.27,0.0,0.69
63,0.01,0.0,0.03,0.0,0.37,0.0,0.59
64,0.02,0.0,0.04,0.0,0.38,0.0,0.55
65,0.02,0.0,0.05,0.0,0.35,0.0,0.57
66,0.02,0.0,0.05,0.0,0.34,0.0,0.58
67,0.02,0.0,0.04,0.0,0.32,0.0,0.62
68,0.03,0.0,0.07,0.0,0.45,0.0,0.45
69,0.02,0.0,0.05,0.0,0.29,0.0,0.63
70,0.03,0.0,0.06,0.0,0.44,0.0,0.47
71,0.04,0.0,0.07,0.0,0.46,0.0,0.43
72,0.03,0.0,0.04,0.0,0.24,0.01,0.67
73,0.03,0.0,0.05,0.0,0.49,0.01,0.41
74,0.03,0.0,0.06,0.0,0.38,0.0,0.53
75,0.05,0.0,0.07,0.0,0.34,0.0,0.53
76,0.04,0.0,0.08,0.0,0.41,0.01,0.46
77,0.03,0.0,0.08,0.0,0.51,0.0,0.37
78,0.04,0.0,0.06,0.0,0.45,0.01,0.43
79,0.04,0.0,0.08,0.0,0.5,0.0,0.38
80,0.03,0.0,0.07,0.0,0.42,0.0,0.47
81,0.04,0.0,0.1,0.0,0.35,0.01,0.51
82,0.03,0.0,0.12,0.0,0.46,0.0,0.38
83,0.05,0.0,0.13,0.0,0.36,0.02,0.44
84,0.03,0.0,0.08,0.0,0.54,0.0,0.35
85,0.04,0.0,0.1,0.0,0.53,0.01,0.32
86,0.04,0.0,0.11,0.0,0.67,0.0,0.18
87,0.03,0.0,0.16,0.0,0.59,0.0,0.21
88,0.03,0.0,0.11,0.0,0.56,0.0,0.29
89,0.03,0.0,0.13,0.0,0.65,0.0,0.19
90,0.03,0.0,0.11,0.0,0.56,0.0,0.29
91,0.02,0.0,0.15,0.0,0.62,0.0,0.2
92,0.04,0.0,0.13,0.0,0.57,0.0,0.26
93,0.04,0.0,0.19,0.0,0.61,0.01,0.15
94,0.03,0.0,0.17,0.0,0.59,0.01,0.2
95,0.04,0.0,0.26,0.0,0.51,0.01,0.18
96,0.03,0.0,0.1,0.0,0.55,0.0,0.32
97,0.04,0.0,0.09,0.0,0.4,0.0,0.47
98,0.03,0.0,0.11,0.0,0.49,0.0,0.37
99,0.03,0.0,0.12,0.0,0.51,0.0,0.34
100,0.03,0.0,0.16,0.0,0.45,0.0,0.36
101,0.04,0.0,0.19,0.0,0.5,0.0,0.26
102,0.04,0.0,0.15,0.0,0.47,0.0,0.34
103,0.05,0.0,0.17,0.0,0.43,0.0,0.35
104,0.03,0.0,0.12,0.0,0.39,0.0,0.46
105,0.05,0.0,0.19,0.0,0.46,0.0,0.3
106,0.05,0.0,0.12,0.0,0.45,0.0,0.38
107,0.03,0.0,0.11,0.0,0.51,0.0,0.34
108,0.03,0.0,0.12,0.0,0.59,0.0,0.26
109,0.03,0.0,0.08,0.0,0.5,0.0,0.38
110,0.04,0.0,0.11,0.0,0.52,0.0,0.33
111,0.03,0.0,0.13,0.0,0.49,0.0,0.35
112,0.04,0.0,0.12,0.0,0.53,0.0,0.31
113,0.03,0.0,0.1,0.0,0.55,0.0,0.31
114,0.04,0.0,0.13,0.0,0.55,0.0,0.28
115,0.04,0.0,0.13,0.0,0.52,0.0,0.31
116,0.04,0.0,0.14,0.0,0.45,0.0,0.37
117,0.03,0.0,0.12,0.0,0.48,0.0,0.36
