,angry,disgust,fear,happy,sad,surprise,neutral
0,0.01,0.0,0.02,0.32,0.01,0.0,0.64
1,0.03,0.0,0.02,0.31,0.02,0.0,0.62
2,0.02,0.0,0.02,0.29,0.01,0.0,0.65
3,0.02,0.0,0.02,0.33,0.01,0.0,0.61
4,0.02,0.0,0.01,0.29,0.01,0.0,0.66
5,0.03,0.0,0.02,0.29,0.02,0.0,0.65
6,0.01,0.0,0.01,0.65,0.01,0.0,0.32
7,0.02,0.0,0.01,0.54,0.01,0.0,0.42
8,0.01,0.0,0.01,0.6,0.01,0.0,0.38
9,0.02,0.0,0.02,0.53,0.01,0.0,0.42
10,0.01,0.0,0.01,0.28,0.01,0.0,0.69
11,0.01,0.0,0.01,0.6,0.01,0.0,0.37
12,0.01,0.0,0.01,0.34,0.01,0.0,0.63
13,0.01,0.0,0.01,0.32,0.01,0.0,0.64
14,0.01,0.0,0.0,0.42,0.01,0.0,0.55
15,0.02,0.0,0.01,0.67,0.01,0.0,0.29
16,0.01,0.0,0.0,0.6,0.01,0.0,0.38
17,0.02,0.0,0.01,0.63,0.01,0.0,0.34
18,0.01,0.0,0.0,0.56,0.01,0.0,0.42
19,0.01,0.0,0.0,0.65,0.0,0.0,0.33
20,0.01,0.0,0.0,0.59,0.01,0.0,0.39
21,0.01,0.0,0.01,0.55,0.01,0.0,0.43
22,0.01,0.0,0.0,0.8,0.0,0.0,0.19
23,0.01,0.0,0.0,0.67,0.0,0.0,0.32
24,0.0,0.0,0.0,0.8,0.0,0.0,0.19
25,0.01,0.0,0.0,0.63,0.0,0.0,0.34
26,0.02,0.0,0.0,0.7,0.01,0.0,0.26
27,0.0,0.0,0.0,0.85,0.0,0.0,0.14
28,0.01,0.0,0.0,0.81,0.0,0.0,0.18
29,0.01,0.0,0.0,0.61,0.01,0.0,0.37
30,0.01,0.0,0.0,0.57,0.01,0.0,0.41
31,0.01,0.0,0.0,0.71,0.01,0.0,0.27
32,0.01,0.0,0.01,0.62,0.01,0.0,0.35
33,0.01,0.0,0.0,0.81,0.0,0.0,0.17
34,0.01,0.0,0.0,0.77,0.01,0.0,0.2
35,0.0,0.0,0.0,0.85,0.0,0.0,0.14
36,0.03,0.0,0.01,0.54,0.01,0.0,0.41
37,0.02,0.0,0.0,0.65,0.01,0.0,0.31
38,0.02,0.0,0.01,0.68,0.01,0.0,0.28
39,0.03,0.01,0.01,0.6,0.01,0.0,0.34
40,0.02,0.0,0.01,0.63,0.01,0.0,0.33
41,0.02,0.0,0.01,0.62,0.01,0.0,0.34
42,0.02,0.0,0.01,0.7,0.01,0.0,0.25
43,0.01,0.0,0.0,0.75,0.01,0.0,0.23
44,0.01,0.0,0.0,0.76,0.01,0.0,0.22
45,0.01,0.0,0.0,0.73,0.01,0.0,0.25
46,0.01,0.0,0.0,0.79,0.0,0.0,0.19
47,0.01,0.0,0.0,0.85,0.0,0.0,0.13
48,0.02,0.0,0.01,0.61,0.01,0.0,0.35
49,0.01,0.0,0.01,0.78,0.01,0.0,0.19
50,0.01,0.0,0.0,0.81,0.01,0.0,0.16
51,0.01,0.0,0.0,0.83,0.0,0.0,0.16
52,0.01,0.0,0.0,0.78,0.0,0.0,0.2
53,0.01,0.0,0.0,0.77,0.01,0.0,0.21
54,0.01,0.0,0.0,0.67,0.01,0.0,0.31
55,0.01,0.0,0.0,0.83,0.01,0.0,0.15
56,0.02,0.0,0.01,0.72,0.01,0.0,0.24
