,angry,disgust,fear,happy,sad,surprise,neutral
0,0.01,0.0,0.04,0.14,0.06,0.01,0.75
1,0.0,0.0,0.01,0.21,0.06,0.0,0.71
2,0.01,0.0,0.02,0.14,0.05,0.0,0.79
3,0.0,0.0,0.01,0.14,0.02,0.0,0.82
4,0.0,0.0,0.01,0.2,0.02,0.0,0.77
5,0.0,0.0,0.01,0.14,0.02,0.0,0.83
6,0.01,0.0,0.02,0.25,0.03,0.01,0.68
7,0.02,0.0,0.04,0.43,0.07,0.02,0.42
8,0.0,0.0,0.01,0.22,0.02,0.01,0.74
9,0.05,0.0,0.05,0.31,0.1,0.01,0.48
10,0.02,0.0,0.02,0.34,0.05,0.01,0.54
11,0.01,0.0,0.01,0.6,0.03,0.02,0.33
12,0.04,0.0,0.04,0.31,0.06,0.01,0.54
13,0.06,0.0,0.07,0.3,0.11,0.01,0.45
14,0.04,0.0,0.03,0.21,0.1,0.01,0.62
15,0.03,0.0,0.03,0.22,0.12,0.01,0.59
16,0.04,0.0,0.03,0.25,0.08,0.0,0.6
17,0.03,0.0,0.03,0.2,0.1,0.01,0.62
18,0.02,0.0,0.02,0.3,0.08,0.0,0.58
19,0.04,0.0,0.03,0.23,0.11,0.0,0.58
20,0.03,0.0,0.02,0.21,0.08,0.01,0.66
21,0.02,0.0,0.01,0.29,0.06,0.0,0.61
22,0.03,0.0,0.02,0.36,0.05,0.0,0.54
23,0.02,0.0,0.02,0.29,0.04,0.0,0.62
24,0.03,0.0,0.04,0.32,0.07,0.0,0.54
25,0.03,0.0,0.04,0.36,0.15,0.0,0.42
26,0.02,0.0,0.02,0.39,0.05,0.0,0.51
27,0.02,0.0,0.02,0.55,0.06,0.0,0.35
28,0.02,0.0,0.03,0.31,0.12,0.0,0.53
29,0.03,0.0,0.03,0.53,0.13,0.0,0.28
30,0.03,0.0,0.03,0.4,0.13,0.0,0.4
31,0.03,0.0,0.02,0.27,0.07,0.0,0.6
32,0.02,0.0,0.02,0.44,0.11,0.0,0.42
33,0.02,0.0,0.02,0.35,0.13,0.0,0.48
34,0.03,0.0,0.03,0.36,0.11,0.0,0.48
35,0.03,0.0,0.03,0.32,0.29,0.0,0.33
36,0.01,0.0,0.03,0.32,0.04,0.0,0.6
37,0.03,0.0,0.04,0.25,0.15,0.0,0.54
38,0.04,0.0,0.05,0.28,0.12,0.01,0.5
39,0.01,0.0,0.04,0.2,0.11,0.0,0.63
40,0.02,0.0,0.01,0.45,0.06,0.0,0.46
41,0.03,0.0,0.03,0.41,0.11,0.0,0.42
42,0.02,0.0,0.02,0.29,0.12,0.0,0.54
43,0.03,0.0,0.02,0.54,0.08,0.0,0.33
44,0.02,0.0,0.01,0.47,0.08,0.0,0.41
45,0.02,0.0,0.01,0.55,0.04,0.0,0.39
46,0.04,0.0,0.03,0.36,0.06,0.01,0.51
47,0.01,0.0,0.01,0.42,0.08,0.0,0.47
48,0.02,0.0,0.02,0.27,0.06,0.0,0.63
49,0.04,0.0,0.05,0.26,0.13,0.0,0.51
50,0.04,0.0,0.07,0.14,0.15,0.0,0.59
51,0.05,0.0,0.07,0.15,0.16,0.0,0.55
52,0.07,0.0,0.11,0.07,0.09,0.01,0.65
53,0.06,0.0,0.13,0.03,0.1,0.01,0.67
54,0.07,0.0,0.11,0.02,0.12,0.01,0.67
55,0.07,0.01,0.21,0.02,0.18,0.01,0.5
56,0.05,0.0,0.13,0.05,0.16,0.01,0.6
57,0.07,0.0,0.16,0.07,0.11,0.02,0.57
58,0.07,0.01,0.25,0.07,0.17,0.02,0.41
59,0.08,0.0,0.19,0.12,0.24,0.03,0.33
60,0.06,0.01,0.44,0.06,0.3,0.05,0.1
61,0.07,0.0,0.23,0.17,0.29,0.05,0.19
62,0.12,0.0,0.19,0.12,0.3,0.04,0.23
63,0.05,0.0,0.2,0.19,0.25,0.05,0.25
64,0.08,0.0,0.2,0.19,0.18,0.04,0.31
65,0.09,0.0,0.18,0.1,0.48,0.02,0.12
66,0.11,0.01,0.2,0.17,0.24,0.04,0.24
67,0.07,0.0,0.19,0.16,0.22,0.03,0.33
68,0.08,0.0,0.19,0.15,0.2,0.03,0.34
69,0.05,0.0,0.17,0.04,0.41,0.01,0.32
70,0.03,0.0,0.08,0.35,0.19,0.02,0.32
71,0.08,0.0,0.11,0.22,0.14,0.04,0.42
72,0.04,0.0,0.07,0.29,0.08,0.01,0.51
73,0.04,0.0,0.11,0.19,0.17,0.02,0.46
74,0.06,0.0,0.11,0.28,0.18,0.02,0.34
75,0.07,0.01,0.15,0.16,0.17,0.03,0.41
76,0.05,0.0,0.16,0.16,0.21,0.02,0.4
77,0.09,0.0,0.12,0.12,0.15,0.01,0.5
78,0.03,0.0,0.1,0.1,0.14,0.0,0.62
79,0.06,0.0,0.12,0.08,0.14,0.01,0.6
80,0.04,0.0,0.08,0.1,0.12,0.01,0.66
81,0.03,0.0,0.09,0.09,0.12,0.01,0.66
82,0.07,0.0,0.08,0.11,0.12,0.01,0.61
83,0.08,0.0,0.09,0.1,0.13,0.01,0.59
84,0.03,0.0,0.09,0.07,0.12,0.0,0.68
85,0.04,0.0,0.09,0.05,0.09,0.0,0.73
86,0.04,0.0,0.08,0.08,0.14,0.0,0.66
87,0.02,0.0,0.04,0.07,0.08,0.0,0.79
88,0.04,0.0,0.04,0.08,0.09,0.0,0.74
89,0.05,0.0,0.09,0.11,0.09,0.01,0.65
90,0.05,0.0,0.1,0.1,0.14,0.01,0.6
91,0.04,0.0,0.08,0.1,0.12,0.01,0.64
92,0.04,0.0,0.09,0.11,0.25,0.0,0.51
93,0.03,0.0,0.05,0.06,0.15,0.0,0.7
94,0.04,0.0,0.06,0.17,0.14,0.01,0.58
95,0.04,0.0,0.1,0.11,0.19,0.0,0.56
96,0.03,0.0,0.08,0.12,0.18,0.0,0.59
97,0.05,0.0,0.06,0.11,0.14,0.0,0.64
98,0.05,0.0,0.09,0.09,0.12,0.01,0.65
99,0.04,0.0,0.11,0.05,0.16,0.0,0.64
100,0.04,0.0,0.08,0.07,0.13,0.0,0.67
101,0.06,0.0,0.08,0.1,0.11,0.0,0.63
102,0.07,0.0,0.08,0.07,0.13,0.0,0.64
103,0.07,0.0,0.13,0.1,0.25,0.01,0.43
104,0.08,0.0,0.1,0.11,0.34,0.01,0.36
105,0.07,0.0,0.15,0.13,0.22,0.02,0.4
106,0.06,0.0,0.11,0.28,0.21,0.01,0.34
107,0.05,0.0,0.11,0.19,0.2,0.01,0.44
108,0.05,0.0,0.14,0.23,0.23,0.02,0.32
109,0.07,0.0,0.09,0.15,0.14,0.01,0.55
110,0.05,0.0,0.08,0.24,0.19,0.01,0.43
111,0.06,0.0,0.08,0.21,0.22,0.01,0.42
112,0.06,0.01,0.1,0.13,0.1,0.0,0.59
113,0.04,0.0,0.08,0.12,0.08,0.01,0.68
114,0.05,0.0,0.09,0.15,0.1,0.01,0.61
115,0.03,0.0,0.05,0.13,0.05,0.01,0.72
116,0.03,0.0,0.06,0.1,0.04,0.01,0.76
117,0.03,0.0,0.04,0.07,0.04,0.01,0.81
118,0.04,0.0,0.08,0.08,0.09,0.01,0.69
119,0.03,0.0,0.04,0.06,0.06,0.0,0.81
120,0.04,0.0,0.1,0.1,0.06,0.01,0.7
121,0.07,0.0,0.13,0.15,0.21,0.01,0.42
122,0.05,0.0,0.1,0.24,0.09,0.02,0.5
123,0.06,0.0,0.12,0.24,0.32,0.02,0.24
124,0.06,0.0,0.11,0.18,0.15,0.01,0.49
125,0.05,0.01,0.18,0.13,0.28,0.02,0.34
126,0.06,0.01,0.15,0.22,0.27,0.03,0.26
127,0.05,0.0,0.15,0.21,0.29,0.02,0.27
128,0.06,0.0,0.15,0.13,0.27,0.02,0.36
129,0.07,0.0,0.21,0.11,0.19,0.03,0.37
130,0.05,0.0,0.11,0.29,0.13,0.03,0.38
131,0.04,0.01,0.14,0.28,0.18,0.03,0.32
132,0.07,0.01,0.09,0.17,0.32,0.01,0.33
133,0.06,0.0,0.15,0.12,0.25,0.02,0.4
134,0.06,0.0,0.17,0.14,0.09,0.04,0.49
135,0.04,0.0,0.1,0.13,0.07,0.01,0.64
136,0.04,0.0,0.12,0.25,0.13,0.04,0.43
137,0.05,0.0,0.19,0.18,0.21,0.02,0.35
138,0.06,0.0,0.18,0.11,0.36,0.01,0.27
139,0.09,0.0,0.22,0.14,0.19,0.03,0.32
140,0.06,0.0,0.2,0.15,0.19,0.02,0.38
141,0.05,0.0,0.15,0.1,0.17,0.01,0.52
142,0.04,0.0,0.11,0.14,0.09,0.01,0.61
143,0.07,0.0,0.2,0.11,0.16,0.02,0.44
144,0.04,0.0,0.17,0.09,0.15,0.02,0.52
145,0.07,0.0,0.24,0.11,0.15,0.02,0.41
146,0.05,0.0,0.19,0.07,0.1,0.01,0.57
147,0.03,0.0,0.09,0.02,0.09,0.0,0.77
148,0.03,0.0,0.24,0.01,0.06,0.01,0.66
149,0.04,0.0,0.21,0.01,0.08,0.01,0.65
150,0.05,0.0,0.22,0.01,0.09,0.01,0.62
151,0.11,0.01,0.25,0.01,0.09,0.01,0.53
152,0.12,0.0,0.32,0.01,0.13,0.01,0.39
153,0.11,0.0,0.29,0.02,0.18,0.01,0.38
154,0.15,0.01,0.33,0.04,0.16,0.02,0.3
155,0.07,0.0,0.34,0.03,0.17,0.02,0.38
