,angry,disgust,fear,happy,sad,surprise,neutral
0,0.04,0.0,0.02,0.0,0.07,0.0,0.88
1,0.01,0.0,0.01,0.0,0.04,0.0,0.94
2,0.02,0.0,0.01,0.0,0.04,0.0,0.94
3,0.01,0.0,0.01,0.0,0.05,0.0,0.93
4,0.02,0.0,0.01,0.0,0.03,0.0,0.94
5,0.01,0.0,0.01,0.0,0.04,0.0,0.94
6,0.01,0.0,0.01,0.0,0.03,0.0,0.94
7,0.02,0.0,0.01,0.0,0.04,0.0,0.93
8,0.02,0.0,0.01,0.0,0.06,0.0,0.92
9,0.01,0.0,0.0,0.0,0.02,0.0,0.97
10,0.02,0.0,0.0,0.0,0.03,0.0,0.94
11,0.02,0.0,0.01,0.0,0.05,0.0,0.92
12,0.02,0.0,0.01,0.0,0.06,0.0,0.91
13,0.02,0.0,0.01,0.0,0.09,0.0,0.88
14,0.02,0.0,0.01,0.0,0.06,0.0,0.91
15,0.03,0.0,0.01,0.0,0.06,0.0,0.9
16,0.01,0.0,0.01,0.0,0.05,0.0,0.93
17,0.01,0.0,0.01,0.0,0.05,0.0,0.92
18,0.01,0.0,0.0,0.0,0.04,0.0,0.94
19,0.01,0.0,0.01,0.0,0.05,0.0,0.92
20,0.01,0.0,0.01,0.0,0.05,0.0,0.92
21,0.01,0.0,0.0,0.0,0.04,0.0,0.94
22,0.01,0.0,0.01,0.01,0.08,0.0,0.89
23,0.01,0.0,0.0,0.0,0.05,0.0,0.94
24,0.01,0.0,0.01,0.0,0.04,0.0,0.93
25,0.02,0.0,0.01,0.0,0.07,0.0,0.89
26,0.03,0.0,0.01,0.0,0.09,0.0,0.87
27,0.01,0.0,0.01,0.0,0.05,0.0,0.93
28,0.02,0.0,0.01,0.0,0.09,0.0,0.87
29,0.02,0.0,0.01,0.0,0.08,0.0,0.88
30,0.02,0.0,0.01,0.0,0.07,0.0,0.9
31,0.02,0.0,0.01,0.0,0.1,0.0,0.86
32,0.02,0.0,0.01,0.0,0.08,0.0,0.89
33,0.02,0.0,0.01,0.0,0.08,0.0,0.9
34,0.02,0.0,0.01,0.0,0.07,0.0,0.91
35,0.01,0.0,0.0,0.0,0.05,0.0,0.93
36,0.03,0.0,0.01,0.0,0.08,0.0,0.88
37,0.02,0.0,0.01,0.0,0.07,0.0,0.89
38,0.01,0.0,0.01,0.0,0.06,0.0,0.92
39,0.02,0.0,0.01,0.0,0.04,0.0,0.93
40,0.02,0.0,0.01,0.0,0.05,0.0,0.92
41,0.01,0.0,0.01,0.0,0.04,0.0,0.94
42,0.02,0.0,0.01,0.0,0.07,0.0,0.9
43,0.03,0.0,0.01,0.0,0.06,0.0,0.9
44,0.02,0.0,0.0,0.0,0.05,0.0,0.93
45,0.02,0.0,0.01,0.0,0.05,0.0,0.93
46,0.02,0.0,0.0,0.0,0.04,0.0,0.93
47,0.02,0.0,0.01,0.0,0.05,0.0,0.92
48,0.02,0.0,0.01,0.0,0.05,0.0,0.92
49,0.01,0.0,0.01,0.0,0.05,0.0,0.93
50,0.01,0.0,0.01,0.0,0.06,0.0,0.91
