normalize,angry,fear,happy,sad,surprise,cnt,chooseframe
0,0.09,0.06,0.0,0.38,0.0,0,0
2,0.11,0.06,0.0,0.32,0.0,1,0
4,0.08,0.03,0.0,0.29,0.0,2,0
6,0.08,0.03,0.0,0.31,0.0,3,0
8,0.08,0.03,0.0,0.45,0.0,4,0
10,0.05,0.02,0.0,0.3,0.0,5,0
12,0.14,0.04,0.0,0.43,0.0,6,0
14,0.12,0.02,0.0,0.26,0.0,7,0
16,0.12,0.02,0.0,0.4,0.0,8,0
18,0.1,0.05,0.0,0.45,0.0,9,0
20,0.13,0.03,0.0,0.45,0.0,10,0
22,0.15,0.04,0.0,0.45,0.0,11,0
24,0.1,0.03,0.0,0.46,0.0,12,0
26,0.12,0.04,0.0,0.59,0.0,13,0
28,0.12,0.04,0.0,0.45,0.0,14,0
30,0.09,0.03,0.0,0.69,0.0,15,0
32,0.07,0.04,0.0,0.5,0.0,16,0
34,0.09,0.04,0.0,0.37,0.0,17,0
36,0.08,0.03,0.0,0.36,0.0,18,0
38,0.1,0.06,0.0,0.37,0.0,19,0
40,0.07,0.06,0.0,0.52,0.0,20,0
42,0.11,0.08,0.0,0.52,0.0,21,0
44,0.11,0.03,0.0,0.33,0.0,22,0
46,0.09,0.03,0.01,0.38,0.0,23,0
48,0.14,0.05,0.0,0.41,0.0,24,0
50,0.13,0.03,0.0,0.32,0.0,25,0
52,0.14,0.04,0.0,0.3,0.0,26,0
54,0.11,0.02,0.0,0.34,0.0,27,0
56,0.09,0.05,0.01,0.28,0.0,28,0
58,0.11,0.05,0.0,0.56,0.0,29,0
60,0.12,0.04,0.0,0.51,0.0,30,0
62,0.1,0.04,0.0,0.52,0.0,31,0
64,0.09,0.02,0.0,0.44,0.0,32,0
66,0.1,0.04,0.0,0.37,0.0,33,0
68,0.06,0.03,0.01,0.25,0.0,34,0
70,0.09,0.02,0.0,0.28,0.0,35,0
72,0.08,0.05,0.0,0.29,0.0,36,0
74,0.07,0.03,0.0,0.19,0.0,37,0
76,0.09,0.02,0.0,0.5,0.0,38,0
78,0.08,0.02,0.0,0.21,0.0,39,0
80,0.07,0.04,0.0,0.44,0.0,40,0
82,0.09,0.02,0.0,0.48,0.0,41,0
84,0.1,0.02,0.0,0.46,0.0,42,0
86,0.04,0.02,0.0,0.37,0.0,43,0
88,0.05,0.01,0.0,0.35,0.0,44,0
90,0.06,0.03,0.0,0.4,0.0,45,0
92,0.07,0.02,0.0,0.4,0.0,46,0
94,0.08,0.02,0.0,0.49,0.0,47,0
96,0.07,0.02,0.0,0.27,0.0,48,0
98,0.1,0.05,0.0,0.49,0.0,49,0
100,0.07,0.03,0.0,0.54,0.0,50,0
102,0.17,0.05,0.0,0.48,0.0,51,0
104,0.16,0.08,0.0,0.53,0.0,52,0
106,0.2,0.07,0.0,0.47,0.0,53,0
108,0.13,0.08,0.0,0.39,0.0,54,0
110,0.1,0.03,0.0,0.39,0.0,55,0
112,0.2,0.04,0.0,0.4,0.0,56,0
114,0.1,0.03,0.0,0.36,0.0,57,0
116,0.18,0.03,0.0,0.29,0.0,58,0
118,0.18,0.05,0.0,0.4,0.0,59,0
120,0.16,0.06,0.0,0.33,0.0,60,0
122,0.12,0.04,0.0,0.33,0.0,61,0
124,0.13,0.05,0.0,0.31,0.0,62,0
126,0.14,0.05,0.0,0.38,0.0,63,0
128,0.15,0.05,0.0,0.43,0.0,64,0
130,0.16,0.05,0.01,0.31,0.0,65,0
132,0.04,0.02,0.02,0.14,0.0,66,0
134,0.16,0.04,0.01,0.31,0.0,67,0
136,0.08,0.03,0.01,0.3,0.0,68,0
138,0.13,0.04,0.0,0.37,0.0,69,0
140,0.09,0.02,0.01,0.23,0.0,70,0
142,0.08,0.03,0.0,0.22,0.0,71,0
144,0.06,0.02,0.0,0.16,0.0,72,0
146,0.12,0.06,0.01,0.31,0.0,73,0
148,0.08,0.02,0.02,0.19,0.0,74,0
150,0.11,0.02,0.0,0.18,0.0,75,0
152,0.09,0.03,0.01,0.24,0.0,76,0
154,0.1,0.03,0.01,0.25,0.0,77,0
156,0.08,0.02,0.01,0.22,0.0,78,0
158,0.15,0.04,0.01,0.37,0.0,79,0
160,0.12,0.04,0.01,0.29,0.0,80,0
162,0.07,0.03,0.01,0.42,0.0,81,0
164,0.1,0.03,0.01,0.34,0.0,82,0
166,0.06,0.04,0.03,0.3,0.0,83,0
168,0.11,0.03,0.01,0.29,0.0,84,0
170,0.13,0.05,0.03,0.27,0.0,85,0
172,0.09,0.04,0.03,0.27,0.0,86,0
174,0.1,0.02,0.01,0.35,0.0,87,0
176,0.08,0.03,0.02,0.37,0.0,88,0
178,0.09,0.03,0.01,0.25,0.0,89,0
180,0.09,0.02,0.01,0.31,0.0,90,0
182,0.08,0.04,0.03,0.29,0.0,91,0
184,0.05,0.02,0.01,0.25,0.0,92,0
186,0.08,0.02,0.02,0.29,0.0,93,0
188,0.06,0.04,0.02,0.22,0.0,94,0
190,0.04,0.02,0.05,0.26,0.0,95,0
192,0.06,0.02,0.01,0.31,0.0,96,0
194,0.09,0.05,0.04,0.28,0.0,97,0
196,0.08,0.02,0.03,0.25,0.0,98,0
198,0.05,0.02,0.02,0.27,0.0,99,0
200,0.06,0.03,0.03,0.2,0.0,100,0
202,0.13,0.03,0.02,0.33,0.0,101,0
204,0.06,0.02,0.04,0.15,0.0,102,0
206,0.09,0.04,0.05,0.25,0.0,103,0
208,0.1,0.02,0.01,0.29,0.0,104,0
210,0.08,0.02,0.01,0.45,0.0,105,0
212,0.06,0.04,0.03,0.2,0.0,106,0
214,0.06,0.03,0.02,0.33,0.0,107,0
216,0.06,0.03,0.01,0.18,0.0,108,0
218,0.07,0.03,0.01,0.27,0.0,109,0
220,0.06,0.02,0.01,0.34,0.0,110,0
222,0.05,0.03,0.02,0.3,0.0,111,0
224,0.09,0.04,0.01,0.31,0.0,112,0
226,0.04,0.03,0.03,0.19,0.0,113,0
228,0.09,0.05,0.01,0.3,0.0,114,0
230,0.07,0.03,0.01,0.32,0.0,115,0
232,0.07,0.04,0.01,0.2,0.0,116,0
234,0.09,0.04,0.02,0.22,0.0,117,0
236,0.08,0.03,0.02,0.25,0.0,118,0
238,0.11,0.02,0.02,0.26,0.0,119,0
240,0.06,0.04,0.02,0.28,0.0,120,0
242,0.07,0.04,0.08,0.18,0.0,121,0
244,0.07,0.04,0.03,0.31,0.0,122,0
246,0.06,0.03,0.01,0.39,0.0,123,0
248,0.07,0.06,0.04,0.3,0.0,124,0
250,0.05,0.05,0.07,0.25,0.0,125,0
252,0.04,0.05,0.09,0.21,0.0,126,0
254,0.04,0.05,0.14,0.18,0.0,127,0
256,0.03,0.05,0.14,0.16,0.0,128,0
258,0.03,0.06,0.14,0.21,0.0,129,0
260,0.06,0.05,0.23,0.24,0.0,130,0
262,0.06,0.06,0.1,0.29,0.0,131,0
264,0.04,0.03,0.16,0.18,0.0,132,0
265,0.03,0.02,0.11,0.18,0.0,133,0
267,0.08,0.02,0.19,0.16,0.0,134,0
269,0.06,0.02,0.27,0.19,0.0,135,0
271,0.02,0.02,0.37,0.1,0.0,136,0
273,0.08,0.02,0.13,0.19,0.0,137,0
275,0.02,0.04,0.32,0.17,0.0,138,0
277,0.05,0.03,0.19,0.23,0.0,139,0
279,0.04,0.02,0.28,0.1,0.0,140,0
281,0.03,0.01,0.59,0.08,0.0,141,0
283,0.05,0.02,0.48,0.15,0.0,142,0
285,0.02,0.02,0.63,0.07,0.0,143,0
287,0.05,0.02,0.33,0.1,0.0,144,0
289,0.01,0.01,0.62,0.07,0.0,145,0
291,0.01,0.01,0.72,0.03,0.0,146,0
293,0.02,0.02,0.57,0.08,0.0,147,0
295,0.1,0.02,0.27,0.23,0.0,148,0
297,0.06,0.02,0.32,0.17,0.0,149,0
299,0.05,0.03,0.5,0.14,0.0,150,0
301,0.04,0.01,0.43,0.12,0.0,151,0
303,0.01,0.02,0.63,0.06,0.0,152,0
305,0.02,0.05,0.45,0.14,0.0,153,0
307,0.03,0.05,0.44,0.14,0.01,154,0
309,0.01,0.02,0.74,0.07,0.0,155,0
311,0.01,0.01,0.66,0.04,0.0,156,0
313,0.01,0.02,0.67,0.1,0.0,157,0
315,0.01,0.01,0.76,0.06,0.0,158,0
317,0.02,0.02,0.41,0.12,0.0,159,0
319,0.04,0.01,0.48,0.11,0.0,160,0
321,0.05,0.01,0.57,0.12,0.0,161,0
323,0.06,0.04,0.24,0.3,0.0,162,0
325,0.03,0.03,0.59,0.08,0.0,163,0
327,0.06,0.02,0.42,0.14,0.0,164,0
329,0.04,0.01,0.37,0.15,0.0,165,0
331,0.05,0.03,0.4,0.14,0.0,166,0
333,0.01,0.01,0.58,0.06,0.0,167,0
335,0.02,0.01,0.63,0.09,0.0,168,0
337,0.02,0.02,0.54,0.1,0.0,169,0
339,0.08,0.04,0.24,0.29,0.0,170,0
341,0.03,0.01,0.59,0.08,0.0,171,0
343,0.05,0.04,0.29,0.23,0.0,172,0
345,0.03,0.03,0.34,0.16,0.0,173,0
347,0.05,0.03,0.27,0.19,0.0,174,0
349,0.08,0.03,0.27,0.25,0.0,175,0
351,0.01,0.01,0.68,0.06,0.0,176,0
353,0.02,0.03,0.34,0.11,0.0,177,0
355,0.02,0.02,0.38,0.15,0.0,178,0
357,0.02,0.03,0.19,0.22,0.0,179,0
359,0.03,0.02,0.3,0.12,0.0,180,0
361,0.02,0.02,0.52,0.08,0.0,181,0
363,0.03,0.03,0.32,0.16,0.0,182,0
365,0.11,0.04,0.13,0.37,0.0,183,0
367,0.03,0.02,0.34,0.12,0.0,184,0
369,0.02,0.04,0.28,0.25,0.0,185,0
371,0.04,0.04,0.29,0.17,0.0,186,0
373,0.03,0.03,0.28,0.13,0.0,187,0
375,0.03,0.01,0.28,0.08,0.0,188,0
377,0.04,0.02,0.29,0.13,0.0,189,0
379,0.02,0.02,0.44,0.09,0.0,190,0
381,0.04,0.02,0.26,0.14,0.0,191,0
383,0.05,0.03,0.21,0.2,0.0,192,0
385,0.02,0.02,0.36,0.12,0.0,193,0
387,0.04,0.03,0.25,0.22,0.0,194,0
389,0.02,0.03,0.48,0.14,0.0,195,0
391,0.02,0.03,0.22,0.14,0.0,196,0
393,0.03,0.03,0.21,0.21,0.0,197,0
395,0.04,0.04,0.28,0.19,0.0,198,0
397,0.02,0.02,0.33,0.13,0.0,199,0
399,0.05,0.03,0.27,0.19,0.0,200,0
401,0.02,0.02,0.29,0.14,0.0,201,0
403,0.03,0.03,0.32,0.14,0.0,202,0
405,0.04,0.05,0.26,0.22,0.0,203,0
407,0.03,0.02,0.35,0.12,0.0,204,0
409,0.03,0.02,0.2,0.22,0.0,205,0
411,0.03,0.02,0.26,0.13,0.0,206,0
413,0.02,0.02,0.36,0.09,0.0,207,0
415,0.02,0.02,0.17,0.17,0.0,208,0
417,0.03,0.02,0.18,0.14,0.0,209,0
419,0.08,0.02,0.21,0.12,0.0,210,0
421,0.02,0.02,0.28,0.08,0.0,211,0
423,0.14,0.05,0.26,0.15,0.0,212,0
425,0.05,0.03,0.18,0.12,0.0,213,0
427,0.06,0.05,0.12,0.25,0.0,214,0
429,0.17,0.03,0.18,0.21,0.0,215,0
431,0.04,0.02,0.13,0.16,0.0,216,0
433,0.06,0.04,0.1,0.2,0.0,217,0
435,0.1,0.01,0.31,0.09,0.0,218,0
437,0.04,0.03,0.13,0.15,0.0,219,0
439,0.05,0.04,0.16,0.2,0.01,220,0
441,0.15,0.03,0.22,0.32,0.01,221,0
443,0.03,0.02,0.17,0.07,0.0,222,0
445,0.06,0.03,0.05,0.24,0.0,223,0
447,0.03,0.03,0.12,0.12,0.0,224,0
449,0.03,0.02,0.24,0.13,0.0,225,0
451,0.04,0.03,0.18,0.11,0.0,226,0
453,0.02,0.03,0.32,0.09,0.0,227,0
455,0.04,0.03,0.25,0.11,0.0,228,0
457,0.09,0.04,0.02,0.29,0.0,229,0
459,0.08,0.02,0.06,0.23,0.0,230,0
461,0.13,0.03,0.13,0.21,0.0,231,0
463,0.07,0.05,0.16,0.14,0.0,232,0
465,0.03,0.02,0.12,0.1,0.0,233,0
