normalize,angry,fear,happy,sad,surprise,cnt,chooseframe
0,0.01,0.06,0.82,0.01,0.03,0,0
2,0.0,0.01,0.85,0.0,0.01,1,0
4,0.0,0.01,0.9,0.0,0.01,2,0
6,0.0,0.01,0.86,0.0,0.02,3,0
8,0.0,0.01,0.88,0.0,0.01,4,0
10,0.0,0.01,0.9,0.0,0.01,5,0
12,0.0,0.02,0.9,0.0,0.02,6,0
14,0.0,0.01,0.87,0.0,0.01,7,0
16,0.01,0.02,0.86,0.0,0.01,8,0
18,0.0,0.01,0.89,0.0,0.02,9,0
20,0.0,0.02,0.87,0.0,0.02,10,0
22,0.0,0.01,0.91,0.0,0.01,11,0
24,0.0,0.02,0.83,0.0,0.01,12,0
26,0.01,0.05,0.75,0.0,0.04,13,0
28,0.0,0.02,0.85,0.0,0.02,14,0
30,0.01,0.05,0.62,0.0,0.04,15,0
32,0.0,0.03,0.75,0.0,0.02,16,0
34,0.0,0.03,0.85,0.0,0.02,17,0
36,0.01,0.03,0.81,0.0,0.01,18,0
38,0.0,0.01,0.86,0.0,0.01,19,0
40,0.0,0.01,0.87,0.0,0.01,20,0
42,0.0,0.03,0.83,0.0,0.03,21,0
44,0.01,0.04,0.75,0.01,0.03,22,0
46,0.0,0.03,0.77,0.0,0.03,23,0
48,0.0,0.03,0.86,0.0,0.02,24,0
50,0.0,0.04,0.8,0.0,0.03,25,0
52,0.0,0.05,0.75,0.0,0.03,26,0
54,0.01,0.05,0.65,0.01,0.04,27,0
56,0.0,0.03,0.78,0.0,0.02,28,0
58,0.0,0.03,0.72,0.0,0.01,29,0
60,0.0,0.04,0.72,0.01,0.03,30,0
62,0.0,0.03,0.72,0.01,0.01,31,0
64,0.0,0.05,0.73,0.0,0.04,32,0
66,0.0,0.03,0.81,0.0,0.01,33,0
68,0.0,0.02,0.79,0.0,0.01,34,0
70,0.0,0.02,0.69,0.0,0.01,35,0
72,0.0,0.02,0.82,0.0,0.03,36,0
74,0.0,0.02,0.85,0.0,0.01,37,0
76,0.0,0.01,0.88,0.0,0.02,38,0
78,0.0,0.02,0.8,0.0,0.01,39,0
80,0.0,0.02,0.82,0.0,0.01,40,0
82,0.0,0.02,0.74,0.0,0.02,41,0
84,0.0,0.05,0.74,0.01,0.03,42,0
86,0.0,0.03,0.82,0.01,0.02,43,0
